COUNTRY                                 DIVISION_TYPE                    DIVISION                                              ID0    ID1 NC_INDEX
Bahrain                                 Governorate                      Muharraq                                               19      3     1903
Bahrain                                 Governorate                      Northern                                               19      4     1904
Bahrain                                 Governorate                      Southern                                               19      5     1905
Bangladesh                              Division                         Barisal                                                20      1     2001
Bangladesh                              Division                         Chittagong                                             20      2     2002
Bangladesh                              Division                         Dhaka                                                  20      3     2003
Bangladesh                              Division                         Khulna                                                 20      4     2004
Bangladesh                              Division                         Rajshahi                                               20      5     2005
Bangladesh                              Division                         Rangpur                                                20      6     2006
Bangladesh                              Division                         Sylhet                                                 20      7     2007
Barbados                                Parish                           Christ Church                                          21      1     2101
Barbados                                Parish                           Saint Andrew                                           21      2     2102
Barbados                                Parish                           Saint George                                           21      3     2103
Barbados                                Parish                           Saint James                                            21      4     2104
Barbados                                Parish                           Saint John                                             21      5     2105
Barbados                                Parish                           Saint Joseph                                           21      6     2106
Barbados                                Parish                           Saint Lucy                                             21      7     2107
Barbados                                Parish                           Saint Michael                                          21      8     2108
Barbados                                Parish                           Saint Peter                                            21      9     2109
Barbados                                Parish                           Saint Philip                                           21     10     2110
Barbados                                Parish                           Saint Thomas                                           21     11     2111
Belarus                                 Region                           Brest                                                  22      1     2201
Belarus                                 Region                           Homyel'                                                22      2     2202
Belarus                                 Region                           Hrodna                                                 22      3     2203
Belarus                                 Region                           Mahilyow                                               22      4     2204
Belarus                                 Region                           Minsk                                                  22      5     2205
Belarus                                 Region                           Vitsyebsk                                              22      6     2206
Belgium                                 Region                           Bruxelles                                              23      1     2301
Belgium                                 Region                           Vlaanderen                                             23      2     2302
Belgium                                 Region                           Wallonie                                               23      3     2303
Belize                                  District                         Belize                                                 24      1     2401
Belize                                  District                         Cayo                                                   24      2     2402
Belize                                  District                         Corozal                                                24      3     2403
Belize                                  District                         Orange Walk                                            24      4     2404
Belize                                  District                         Stann Creek                                            24      5     2405
Belize                                  District                         Toledo                                                 24      6     2406
Benin                                   Department                       Alibori                                                25      1     2501
